full breakdown is:
The Banker 64-BC-58-83-92-67 =1,733,000 bm
Wealth F0-6E-0B-B9-18-F9 =1,730,982 bm
Anonymouss 3C-9C-0F-56-9B-C2 =1,730,051 bm
Ingmarmario A8-A1-59-27-CA-4A =1,716,538 bm
Amz Deniro 94-08-53-4C-DD-AD =1,682,485 bm
Care Plane 5A-00-97-B8-6F-FE =1,650,868 bm
Cotzy 18-C0-4D-08-CF-8F =1,647,249 bm
Runescapeog 00-FF-40-D5-2A-ED =1,617,312 bm
Sawkhuwah 30-9C-23-60-FA-AB =1,595,226 bm
Faith A8-A1-59-30-DD-5C =1,558,172 bm
ItsNoobo B4-2E-99-ED-0E-87 =1,533,535 bm
Sasori 0A-00-27-00-00-05 =1,515,074 bm
Mojo 3C-37-86-8B-59-46 =1,475,900 bm
Take It Easy BC-30-7D-12-B4-AD =1,444,989 bm
Blizrdstorm 00-FF-E1-6D-5A-18 =1,430,987 bm
1659 E0-D5-5E-5F-3D-1F =1,351,160 bm
A God 48-45-20-96-DF-5C =1,327,542 bm
Havok 4A-6C-6D-11-19-6E =1,302,529 bm
Zyzz invalid =1,287,070 bm
Stewie2k 18-C0-4D-6A-9A-F8 =1,282,478 bm
Dsn 94-B8-6D-CA-5D-91 =1,239,116 bm
Warden 34-97-F6-64-AF-A5 =1,229,768 bm
NFT 40-F2-01-82-D3-2E =1,223,200 bm
Firstblood1 B0-5A-DA-58-E7-84 =1,200,000 bm
Diabole FC-77-74-5C-B9-CB =1,164,907 bm
HC Lost 1C-BF-C0-37-03-67 =1,153,319 bm
Matthew 04-92-26-BD-D6-08 =1,125,000 bm
Whipping D0-37-45-7E-34-68 =1,117,879 bm
Bigdraco 00-E9-3A-04-1E-67 =1,115,876 bm
Pj 80-E6-50-01-FC-BE =1,115,454 bm
Kasnutiko 64-6E-69-DE-96-95 =1,096,149 bm
Giveaway 02-26-02-A4-06-84 =1,078,987 bm
Ingmarmario1 A8-A1-59-27-CA-4A =1,067,155 bm
Kokobino 30-9C-23-1D-E4-09 =1,055,000 bm
WhipToGmaul 0C-9D-92-10-55-F4 =1,050,000 bm
Doe Niet Gek 98-EE-CB-C0-F2-87 =1,045,247 bm
NoRecovery 0A-00-27-00-00-0B =1,015,206 bm
Stepdown B4-2E-99-1E-9C-89 =993,500 bm
AstroRS 4C-CC-6A-FF-AD-19 =981,750 bm
Illusion E0-D5-5E-A3-88-54 =971,952 bm
Dr Death D8-C0-A6-81-66-E7 =968,818 bm
Like My Peep AC-81-12-D2-79-3B =958,100 bm
Momma 4C-CC-6A-D5-1C-45 =947,381 bm
Dipshit B4-A9-FC-EF-60-C6 =946,613 bm
Ponyboy 00-D8-61-53-9F-AF =908,560 bm
Ll Skill L 28-39-26-10-46-35 =907,368 bm
Regis 48-D7-05-E0-CC-6D =900,908 bm
Themansand D8-C0-A6-40-BC-03 =876,229 bm
Aysa 1C-BF-C0-37-03-67 =871,214 bm
A D O S 28-B2-BD-84-E6-2B =859,980 bm
Kronikal 28-F0-76-6C-A7-02 =857,466 bm
P Conemey 98-EE-CB-DD-7C-E3 =854,021 bm
Win A0-A8-CD-DD-5D-24 =850,642 bm
Tink Tink E0-D5-5E-69-3C-10 =842,500 bm
Johnny 38-68-93-B4-D9-03 =837,250 bm
Iron Age E8-94-F6-0C-41-B2 =809,611 bm
Outlast 7C-C2-C6-05-8A-AB =797,500 bm
Safe 18-C0-4D-08-CF-8F =790,613 bm
RTM 40-5B-D8-A1-F3-F7 =784,712 bm
Madara A0-AF-BD-C4-E6-45 =775,200 bm
Taylor 02-26-02-A4-06-84 =768,956 bm
Love Of Buds A8-5E-45-56-70-E4 =762,696 bm
P S Y C H O 5C-3A-45-C3-44-BD =757,990 bm
DAQQS 28-D2-44-73-9A-AF =736,448 bm
Dh Beast 6C-71-D9-DD-7C-F2 =719,097 bm
M8 U8 14-F6-D8-B4-68-01 =719,072 bm
Sir Charles D8-F8-83-CA-12-AA =715,875 bm
Widowmaker 04-D9-F5-1E-3F-0F =706,099 bm
Dds Ownz 0A-00-27-00-00-06 =684,000 bm
Umadbro23 1C-87-2C-5E-3A-F8 =682,811 bm
337 00-24-9B-73-89-32 =672,500 bm
Classified D4-5D-64-69-C8-2C =656,440 bm
Animals DC-53-60-01-03-47 =647,553 bm
I C Y Spec 98-EE-CB-DD-7C-E3 =605,630 bm
CatIsDog 0A-00-27-00-00-29 =602,200 bm
Abyssal Whip F8-59-71-66-55-F3 =598,770 bm
Lu E0-91-53-12-A2-22 =586,001 bm
Sasuke A0-AF-BD-C4-E6-45 =582,500 bm
G0d A4-83-E7-80-CE-1E =571,425 bm
Kaite 00-FF-1D-E6-1C-37 =568,805 bm
Oes AC-D1-B8-31-90-1F =554,730 bm
Iron Monk 90-48-9A-F3-76-E7 =546,574 bm
Calvin 3C-15-C2-E9-4A-A2 =533,798 bm
Twist3d E0-CA-94-4C-82-AF =528,194 bm
Cartel666973 94-53-30-91-05-09 =492,551 bm
Zzpp F0-03-8C-A1-D9-97 =488,614 bm
Not Pvmer 00-27-10-D5-5E-C4 =479,422 bm
SLAAVI invalid =458,839 bm
SLAAVI 0C-9D-92-10-55-F4 =458,839 bm
